idPessoaQueSegue,idPessoaQueESeguida,dataInicioQueSegue,dataFimQueSegue,grauAmizade
136,481,28/09/2022,,1
241,70,15/06/2025,,2
186,117,03/05/2020,23/09/2020,0
113,461,31/07/2022,,2
349,105,28/08/2022,,1
272,348,06/01/2024,04/03/2025,0
104,447,15/02/2022,,1
142,115,03/07/2025,,0
228,189,23/03/2025,,0
215,319,07/09/2025,,
344,269,03/05/2023,18/02/2025,0
53,308,27/04/2024,,
333,130,25/02/2024,26/07/2024,2
66,2,02/08/2025,,1
94,405,09/09/2025,,
284,47,07/01/2023,20/03/2023,1
241,281,20/12/2022,,2
282,475,05/07/2024,,1
437,375,30/05/2023,,
206,374,19/10/2020,09/04/2021,1
319,115,27/04/2021,,1
348,265,22/12/2023,,0
40,47,18/06/2021,,1
287,360,26/10/2023,,2
27,210,25/08/2020,,
468,227,29/05/2021,,1
64,104,23/06/2020,,0
140,276,09/08/2024,,
228,207,05/03/2020,,2
304,175,30/05/2023,,2
170,218,24/03/2021,13/11/2021,2
201,120,25/06/2024,,
181,234,08/05/2025,,
135,269,08/05/2023,10/09/2023,2
432,346,10/07/2024,,0
271,247,10/11/2024,13/06/2025,2
246,200,13/09/2024,,2
248,6,14/02/2025,30/08/2025,1
311,423,24/10/2024,,0
478,419,09/04/2024,,2
185,486,12/12/2020,29/08/2024,
323,400,15/10/2021,10/09/2025,0
435,120,26/06/2021,,1
491,221,17/11/2023,,1
208,486,05/03/2021,06/09/2024,1
197,478,22/07/2020,,1
375,329,18/11/2020,09/08/2021,1
326,271,20/07/2022,23/07/2025,
48,57,13/10/2025,,0
193,317,05/06/2025,,
233,16,29/11/2024,,1
104,140,02/12/2020,,0
352,457,11/11/2021,,
369,361,10/02/2025,,1
173,479,03/05/2020,,0
63,39,03/09/2022,,0
392,375,31/08/2024,,1
192,290,24/06/2025,,
144,231,04/02/2024,,0
296,47,15/10/2024,27/12/2024,0
335,396,24/07/2021,,
101,300,22/05/2020,,0
114,124,09/06/2022,29/12/2024,2
484,83,04/10/2020,,2
442,42,07/03/2023,,2
179,170,28/06/2021,,1
434,389,01/04/2021,,2
389,401,10/02/2024,18/05/2025,
392,52,17/10/2023,,
247,133,24/06/2021,,
230,111,26/10/2024,,1
307,224,14/12/2024,21/06/2025,0
460,27,15/02/2022,10/11/2022,2
461,324,03/10/2022,20/12/2024,1
339,234,19/01/2025,,
78,403,20/09/2025,,2
325,490,18/07/2020,,2
225,445,09/12/2024,,
250,455,24/07/2023,,1
169,247,04/09/2021,,0
432,276,30/03/2021,,
45,46,04/05/2023,,0
216,15,05/02/2021,,2
369,282,31/01/2024,,0
456,322,02/05/2024,,
51,214,01/05/2021,,1
355,376,03/01/2023,,2
304,277,25/09/2023,,1
383,59,12/02/2021,,1
284,478,29/08/2020,22/01/2021,0
214,40,16/11/2020,,1
453,431,20/11/2022,,
282,243,05/08/2022,,0
118,447,24/06/2021,,
442,44,17/07/2021,,1
155,66,17/08/2023,,1
392,257,16/11/2024,,2
348,160,21/07/2025,01/08/2025,1
32,380,18/02/2020,,1
4,457,19/07/2020,,0
295,21,14/12/2024,,1
349,38,04/08/2020,01/06/2024,1
168,499,23/09/2022,,1
481,10,28/07/2020,14/05/2021,2
487,334,04/11/2022,,0
